company_name,schedule_type,work_from_home,search_location,salary_rate,locations,min_yearly,max_yearly,state
Burrell Behavioral Health,Full-time,False,United States,an hour,"  Springfield, MO   ",38126.399999999994,58656.0,MO
Burrell Behavioral Health,Full-time,False,United States,an hour,"  Springfield, MO   ",38126.399999999994,58656.0,MO
Sentara,Full-time,True,United States,an hour,Remote,38396.8,56014.4,Remote
Frankfurt Short Bruza,Full-time,False,United States,an hour,"  Oklahoma City, OK   ",40664.0,43825.6,OK
Tulsa Community College,Full-time,False,United States,an hour,"  Tulsa, OK   ",53040.0,94536.0,OK
EDWARD JONES,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
EDWARD JONES,Full-time,False,United States,an hour,"  McGirk, MO   ",38126.399999999994,58656.0,MO
EDWARD JONES,Full-time,False,United States,an hour,"  McGirk, MO   ",38126.399999999994,58656.0,MO
EDWARD JONES,Full-time,False,United States,an hour,"  Chamois, MO   ",38126.399999999994,58656.0,MO
EDWARD JONES,Full-time,False,United States,an hour,"  Loose Creek, MO   ",38126.399999999994,58656.0,MO
EDWARD JONES,Full-time,False,United States,an hour,"  Billings, MO   ",38126.399999999994,58656.0,MO
EDWARD JONES,Full-time,False,United States,an hour,"  Billings, MO   ",38126.399999999994,58656.0,MO
EDWARD JONES,Full-time,False,United States,an hour,"  Newburg, MO   ",38126.399999999994,58656.0,MO
Burrell Behavioral Health,Full-time,False,United States,an hour,"  Springfield, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,True,United States,an hour,Remote,38126.399999999994,58656.0,Remote
Advisors Excel,Full-time,False,United States,an hour,"  Topeka, KS   ",38396.8,56014.4,KS
Sentara,Full-time,True,United States,an hour,Remote,38396.8,56014.4,Remote
"Government Employees Health Association, Inc. - GEHA",Full-time,False,United States,an hour,"  Lee's Summit, MO   ",40601.6,64667.2,MO
"Government Employees Health Association, Inc. - GEHA",Full-time,False,United States,an hour,"  Lee's Summit, MO   ",40601.6,64667.2,MO
"Government Employees Health Association, Inc. - GEHA",Full-time,False,United States,an hour,"  Lee's Summit, MO   ",40601.6,64667.2,MO
Frankfurt Short Bruza,Full-time,False,United States,an hour,"  Oklahoma City, OK   ",40664.0,43825.6,OK
Frankfurt Short Bruza,Full-time,False,United States,an hour,"  Oklahoma City, OK   ",40664.0,43825.6,OK
Frankfurt Short Bruza,Full-time,False,United States,an hour,"  Oklahoma City, OK   ",40664.0,43825.6,OK
Frankfurt Short Bruza,Full-time,False,United States,an hour,"  Oklahoma City, OK   ",40664.0,43825.6,OK
"EducationDynamics, LLC",Full-time,True,United States,an hour,Remote,50835.200000000004,84364.8,Remote
EDWARD JONES,Full-time,False,United States,an hour,"  Centertown, MO   ",38126.399999999994,58656.0,MO
EDWARD JONES,Full-time,False,United States,an hour,"  Centertown, MO   ",38126.399999999994,58656.0,MO
EDWARD JONES,Full-time,False,United States,an hour,"  Rolla, MO   ",38126.399999999994,58656.0,MO
EDWARD JONES,Full-time,False,United States,an hour,"  Billings, MO   ",38126.399999999994,58656.0,MO
Tech Soft Inc,Full-time,False,United States,a year,Unknown,80000.0,110000.0,Unknown
Joblatter,Full-time,True,United States,an hour,Remote,20800.0,41600.0,Remote
Etsy,Full-time,False,United States,a year,Unknown,104000.0,136000.0,Unknown
Etsy,Full-time,False,United States,a year,Unknown,104000.0,136000.0,Unknown
SevenFifty,Full-time,True,United States,a year,Remote,110000.0,130000.0,Remote
The Elite Job,Full-time,True,United States,an hour,Remote,41600.0,62400.0,Remote
The Elite Job,Full-time,True,United States,an hour,Remote,41600.0,62400.0,Remote
The Elite Job,Full-time,True,United States,an hour,Remote,41600.0,62400.0,Remote
#twiceasnice Recruiting,Full-time,False,United States,a year,"  Kansas City, MO   ",55000.0,80000.0,MO
Peak Performers,Full-time,False,United States,a year,"  De Soto, KS   ",85000.0,95000.0,KS
Mindlance,Full-time,False,United States,an hour,Unknown,83200.0,91769.59999999999,Unknown
Mindlance,Full-time,False,United States,an hour,Unknown,83200.0,91769.59999999999,Unknown
Meta,Full-time,True,United States,a year,Remote,101000.0,143000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,31200.0,52000.0,Remote
Krispy Kreme,Contractor,False,United States,a year,Unknown,90000.0,110000.0,Unknown
Aquent,Full-time,True,United States,an hour,Remote,112320.0,125881.6,Remote
CIBA Insurance Services,Full-time,False,United States,a year,Unknown,90000.0,130000.0,Unknown
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Upwork,Contractor,True,United States,an hour,Remote,104000.0,166400.0,Remote
Sompo International,Full-time,False,United States,a year,Unknown,95000.0,150000.0,Unknown
LeadStack Inc.,Contractor,True,United States,an hour,Remote,124800.0,135200.0,Remote
COOP Ale Works,Full-time,False,United States,a year,"  Oklahoma City, OK   ",50000.0,60000.0,OK
Insight Global,Contractor,False,United States,an hour,"  Oklahoma City, OK   ",72800.0,79040.0,OK
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Upwork,Contractor,True,United States,an hour,Remote,35360.0,95680.0,Remote
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
SSi People,Contractor,False,United States,an hour,"  Oklahoma City, OK   ",62400.0,72800.0,OK
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Leidos,Full-time,False,United States,a year,Unknown,63050.0,130950.0,Unknown
Step Up For Students,Full-time,True,United States,a year,Remote,75000.0,80000.0,Remote
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Upwork,Contractor,True,United States,an hour,Remote,35360.0,72800.0,Remote
On-Demand Group,Contractor,False,United States,an hour,Unknown,135200.0,145600.0,Unknown
RightPro Staffing,Full-time,True,United States,a year,Remote,100000.0,145000.0,Remote
CornerStone Staffing,Full-time,True,United States,a year,Remote,70000.0,85000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,104000.0,166400.0,Remote
On-Demand Group,Contractor,False,United States,an hour,Unknown,135200.0,145600.0,Unknown
Upwork,Contractor,True,United States,an hour,Remote,41600.0,62400.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,104000.0,135200.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,35360.0,95680.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,35360.0,72800.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,83200.0,156000.0,Remote
OQ Point LLC,Full-time,True,United States,an hour,Remote,89440.0,99840.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,35360.0,95680.0,Remote
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Upwork,Contractor,True,United States,an hour,Remote,35360.0,95680.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,83200.0,156000.0,Remote
Rangam,Contractor,True,United States,an hour,Remote,83200.0,89440.0,Remote
The Judge Group,Full-time,False,United States,an hour,"  Bentonville, AR   ",62400.0,66560.0,AR
Steneral Consulting,Full-time,True,United States,an hour,Remote,124800.0,145600.0,Remote
Steneral Consulting,Full-time,True,United States,an hour,Remote,124800.0,145600.0,Remote
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
CyberCoders,Full-time,False,United States,a year,"  Conway, AR   ",60000.0,100000.0,AR
State of Missouri,Full-time,False,United States,a year,"  Jefferson City, MO   ",66053.0,70980.0,MO
"Acadia Technologies, Inc.",Full-time,False,United States,a year,"  Oklahoma City, OK   ",60000.0,80000.0,OK
Chickasaw Nation Industries,Full-time,False,United States,a year,"  Norman, OK   ",100000.0,150000.0,OK
Eliassen Group,Full-time,True,United States,a year,Remote,88000.0,105000.0,Remote
Walmart,Full-time,False,United States,a year,"  Bentonville, AR   ",80000.0,120000.0,AR
Western Global,Full-time,False,United States,a year,Unknown,75000.0,80000.0,Unknown
Western Global,Full-time,False,United States,a year,Unknown,75000.0,80000.0,Unknown
Aditi Consulting,Contractor,True,United States,an hour,Remote,83200.0,93600.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,20800.0,31200.0,Remote
Aditi Consulting,Contractor,True,United States,an hour,Remote,83200.0,93600.0,Remote
Jobs Near Me,Full-time,False,United States,an hour,"  Joplin, MO   ",20800.0,41600.0,MO
Upwork,Contractor,True,United States,an hour,Remote,83200.0,156000.0,Remote
Facebook,Contractor,True,United States,an hour,Remote,35360.0,45760.0,Remote
Equity Staffing Group,Full-time,False,United States,a year,Unknown,120000.0,140000.0,Unknown
Insight Global,Contractor,True,United States,an hour,Remote,145600.0,166400.0,Remote
1872 Consulting,Full-time,True,United States,a year,Remote,130000.0,160000.0,Remote
Nmble,Part-time,True,United States,an hour,Remote,104000.0,124800.0,Remote
Robert Half,Contractor,False,United States,an hour,Unknown,72800.0,83200.0,Unknown
The State of Oklahoma,Full-time,False,United States,an hour,Unknown,69992.0,79996.8,Unknown
Advisors Excel,Full-time,False,United States,an hour,"  Topeka, KS   ",38396.8,56014.4,KS
TIAA,Full-time,False,United States,an hour,Unknown,135844.80000000002,157497.6,Unknown
Advisors Excel,Full-time,False,United States,an hour,"  Topeka, KS   ",38396.8,56014.4,KS
Jobs Near Me,Full-time,False,United States,an hour,"  Joplin, MO   ",20800.0,41600.0,MO
Swoon,Contractor,True,United States,an hour,Remote,124800.0,141440.0,Remote
Mosaic Life Care,Full-time,True,United States,a year,Remote,144164.8,216257.6,Remote
Upwork,Contractor,True,United States,an hour,Remote,35360.0,95680.0,Remote
Step Up For Students,Full-time,True,United States,a year,Remote,83000.0,101000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,35360.0,52000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,52000.0,93600.0,Remote
Mosaic Life Care,Full-time,True,United States,a year,Remote,144164.8,216257.6,Remote
eTeam,Contractor,True,United States,an hour,Remote,114400.0,124800.0,Remote
CyberCoders,Full-time,False,United States,a year,"  Conway, AR   ",60000.0,100000.0,AR
Jobs Near Me,Full-time,False,United States,an hour,"  Joplin, MO   ",20800.0,41600.0,MO
Cox Communications,Full-time,False,United States,a year,"  Wichita, KS   ",63600.0,95400.0,KS
System Office,Full-time,False,United States,a year,Unknown,61000.0,78000.0,Unknown
Cox Automotive,Full-time,True,United States,a year,Remote,77000.0,116000.0,Remote
CalOpps,Full-time,False,United States,a year,Unknown,101714.0,120779.0,Unknown
Upwork,Contractor,True,United States,an hour,Remote,41600.0,83200.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,83200.0,156000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,20800.0,31200.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,104000.0,166400.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,83200.0,156000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,20800.0,24960.0,Remote
Edward Jones,Full-time,False,United States,a year,"  Jefferson City, MO   ",68105.0,112305.0,MO
Akkodis,Contractor,True,United States,an hour,Remote,114400.0,145600.0,Remote
Consumer Direct Care Network,Full-time,True,United States,a year,Remote,65000.0,75000.0,Remote
Swoon,Contractor,True,United States,an hour,Remote,145600.0,166400.0,Remote
CornerStone Staffing,Contractor,True,United States,an hour,Remote,83200.0,93600.0,Remote
CornerStone Staffing,Contractor,True,United States,an hour,Remote,83200.0,93600.0,Remote
Accolite,Contractor,False,United States,an hour,Unknown,104000.0,145600.0,Unknown
Onin Staffing,Contractor,True,United States,an hour,Remote,62400.0,72800.0,Remote
Gravity IT Resources,Full-time,True,United States,a year,Remote,100000.0,125000.0,Remote
Gravity IT Resources,Full-time,True,United States,a year,Remote,100000.0,125000.0,Remote
Analytic Recruiting Inc.,Full-time,True,United States,a year,Remote,135000.0,150000.0,Remote
Seeking Alpha,Full-time,True,United States,a year,Remote,70000.0,90000.0,Remote
Meta,Full-time,True,United States,a year,Remote,114000.0,163000.0,Remote
Medical Solutions,Full-time,True,United States,a year,Remote,110000.0,140000.0,Remote
Gartner,Full-time,False,United States,an hour,"  Wichita, KS   ",25355.199999999997,32364.8,KS
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Saint Louis County Clerks Office,Full-time,False,United States,an hour,"  Jefferson City, MO   ",38126.399999999994,58656.0,MO
Sentara,Full-time,True,United States,an hour,Remote,40664.0,43825.6,Remote
The Elite Job,Full-time,True,United States,an hour,Remote,41600.0,62400.0,Remote
Motion Recruitment,Full-time,True,United States,a year,Remote,105000.0,130000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,83200.0,156000.0,Remote
Defense Logistics Agency,Full-time,False,United States,a year,Unknown,116393.0,151308.0,Unknown
Upwork,Contractor,True,United States,an hour,Remote,83200.0,156000.0,Remote
Colorado,Full-time,True,United States,a year,Remote,66000.0,75000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,41600.0,104000.0,Remote
"Agile Resources, Inc.",Contractor,True,United States,an hour,Remote,104000.0,135200.0,Remote
LeadStack Inc.,Contractor,True,United States,an hour,Remote,166400.0,176800.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,83200.0,156000.0,Remote
Modis,Contractor,True,United States,an hour,Remote,135200.0,197600.0,Remote
CyberCoders,Full-time,False,United States,a year,"  Conway, AR   ",60000.0,100000.0,AR
Accuity,Full-time,False,United States,an hour,"  Kansas City, MO   ",40601.6,64667.2,MO
Excelon Solutions,Full-time,False,United States,an hour,Unknown,145600.0,208000.0,Unknown
LPL Financial,Full-time,False,United States,an hour,Unknown,58884.799999999996,88316.8,Unknown
Gusto,Full-time,False,United States,a year,Unknown,152000.0,176000.0,Unknown
Frankfurt Short Bruza,Full-time,False,United States,an hour,"  Oklahoma City, OK   ",40664.0,43825.6,OK
Upwork,Contractor,True,United States,an hour,Remote,20800.0,24960.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,104000.0,166400.0,Remote
"Good Steward Consulting, LLC",Contractor,True,United States,an hour,Remote,33280.0,41600.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,20800.0,104000.0,Remote
eTeam,Contractor,True,United States,an hour,Remote,114400.0,124800.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,31200.0,62400.0,Remote
Accuity,Full-time,False,United States,an hour,"  Oklahoma City, OK   ",40664.0,43825.6,OK
Accuity,Full-time,False,United States,an hour,"  Oklahoma City, OK   ",40664.0,43825.6,OK
Sentara,Full-time,True,United States,an hour,Remote,38396.8,56014.4,Remote
Accuity,Full-time,False,United States,an hour,"  Wichita, KS   ",38396.8,56014.4,KS
Accuity,Full-time,False,United States,an hour,"  Kansas City, MO   ",40601.6,64667.2,MO
Upwork,Contractor,True,United States,an hour,Remote,35360.0,104000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,20800.0,104000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,35360.0,104000.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,83200.0,162240.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,83200.0,162240.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,83200.0,162240.0,Remote
BD,Full-time,False,United States,a year,Unknown,144000.0,238000.0,Unknown
Technology Talent Network LLC,Full-time,True,United States,a year,Remote,55000.0,60000.0,Remote
Nike,Full-time,True,United States,an hour,Remote,41600.0,62400.0,Remote
Clarivate Analytics US LLC,Full-time,False,United States,an hour,"  Kansas City, MO   ",40601.6,64667.2,MO
The Elite Job,Full-time,True,United States,an hour,Remote,41600.0,62400.0,Remote
Upwork,Contractor,True,United States,an hour,Remote,62400.0,141440.0,Remote
Akkodis,Contractor,True,United States,an hour,Remote,72800.0,79040.0,Remote
Akkodis,Contractor,True,United States,an hour,Remote,72800.0,79040.0,Remote
Arete,Full-time,False,United States,a year,Unknown,40000.0,60000.0,Unknown
TALENT Software Services,Full-time,True,United States,an hour,Remote,135200.0,145600.0,Remote
Mastermind.com,Full-time,False,United States,a year,Unknown,100000.0,120000.0,Unknown
Robert Half,Full-time,False,United States,a year,Unknown,65000.0,72000.0,Unknown
Underdog.io,Full-time,True,United States,a year,Remote,125000.0,200000.0,Remote
